"SERVICEINSTNUM","ACCOUNT_NAME","CUSTOMER_SEGMENT","KAM_CATEGORY","SALES_DIVISION","SALES_DEPARTMENT","TERMINATION_REASON","TERM_REASON","MONT_TERMINATION_DATE","MON_TERMINATION_DATE","YEAR_TERMINATION_DATE","CATEGORY_PRODUCT","PRODUCT_LV2","TARIF","TOTAL_BULJAR"
"2022338066","BANK RAKYAT INDONESIA","FINANCE BANK","SKA 2","FSI AND DIGITAL COMPANIES ACCOUNT","FSI AND DIGITAL COMPANIES ACCOUNT 1","Masa Kontrak(Project Berakhir)","","01","Jan","2024","CONNECTITIVY","LA MANAGED CPE",171289,2055468
"2022338071","BANK RAKYAT INDONESIA","FINANCE BANK","SKA 2","FSI AND DIGITAL COMPANIES ACCOUNT","FSI AND DIGITAL COMPANIES ACCOUNT 1","Masa Kontrak(Project Berakhir)","","01","Jan","2024","CONNECTITIVY","LA MANAGED CPE",171289,2055468
"2022338575","BANK RAKYAT INDONESIA","FINANCE BANK","SKA 2","FSI AND DIGITAL COMPANIES ACCOUNT","FSI AND DIGITAL COMPANIES ACCOUNT 1","Masa Kontrak(Project Berakhir)","","01","Jan","2024","CONNECTITIVY","LA MANAGED CPE",171288,2055456
"2022338837","BANK RAKYAT INDONESIA","FINANCE BANK","SKA 2","FSI AND DIGITAL COMPANIES ACCOUNT","FSI AND DIGITAL COMPANIES ACCOUNT 1","Masa Kontrak(Project Berakhir)","","01","Jan","2024","CONNECTITIVY","LA MANAGED CPE",171288,2055456
"2022338920","BANK RAKYAT INDONESIA","FINANCE BANK","SKA 2","FSI AND DIGITAL COMPANIES ACCOUNT","FSI AND DIGITAL COMPANIES ACCOUNT 1","Masa Kontrak(Project Berakhir)","","01","Jan","2024","CONNECTITIVY","LA MANAGED CPE",171288,2055456
"2022335861","BANK RAKYAT INDONESIA","FINANCE BANK","SKA 2","FSI AND DIGITAL COMPANIES ACCOUNT","FSI AND DIGITAL COMPANIES ACCOUNT 1","Masa Kontrak(Project Berakhir)","","01","Jan","2024","CONNECTITIVY","LA MANAGED CPE",171298,2055576
"2022336585","BANK RAKYAT INDONESIA","FINANCE BANK","SKA 2","FSI AND DIGITAL COMPANIES ACCOUNT","FSI AND DIGITAL COMPANIES ACCOUNT 1","Masa Kontrak(Project Berakhir)","","01","Jan","2024","CONNECTITIVY","LA MANAGED CPE",171288,2055456
"2022336961","BANK RAKYAT INDONESIA","FINANCE BANK","SKA 2","FSI AND DIGITAL COMPANIES ACCOUNT","FSI AND DIGITAL COMPANIES ACCOUNT 1","Masa Kontrak(Project Berakhir)","","01","Jan","2024","CONNECTITIVY","LA MANAGED CPE",171288,2055456
"2022337701","BANK RAKYAT INDONESIA","FINANCE BANK","SKA 2","FSI AND DIGITAL COMPANIES ACCOUNT","FSI AND DIGITAL COMPANIES ACCOUNT 1","Masa Kontrak(Project Berakhir)","","01","Jan","2024","CONNECTITIVY","LA MANAGED CPE",171288,2055456
"2022337357","BANK RAKYAT INDONESIA","FINANCE BANK","SKA 2","FSI AND DIGITAL COMPANIES ACCOUNT","FSI AND DIGITAL COMPANIES ACCOUNT 1","Masa Kontrak(Project Berakhir)","","01","Jan","2024","CONNECTITIVY","LA MANAGED CPE",171288,2055456
